Object,Date,Distance,Width,SigmaImpact,SigmaLOV,StretchLOV,ImpactProbability,ImpactEnergy,PalermoScale,TorinoScale
A99942,2076-04-13.02,0.11,&lt;1.e-04,0.000,1.075,1.73e+06,5.4e-07,1.15e+03,-4.09,0
A99942,2077-04-13.45,0.40,&lt;1.e-04,0.000,1.004,4.56e+06,1.8e-07,1.15e+03,-4.57,0
A99942,2078-04-13.76,0.06,&lt;1.e-04,0.000,0.925,5.02e+06,2.2e-07,1.15e+03,-4.48,0
A99942,2089-10-15.56,0.17,&lt;1.e-04,0.000,-3.856,8.81e+06,1.0e-10,1.15e+03,-7.89,0
A99942,2091-04-13.38,0.83,&lt;1.e-04,0.000,0.927,2.23e+06,2.2e-07,1.15e+03,-4.56,0
A99942,2103-04-14.44,0.60,&lt;1.e-04,0.000,1.002,1.33e+06,5.4e-07,1.15e+03,-4.24,0
A99942,2105-04-13.77,0.92,&lt;1.e-04,0.000,1.005,3.33e+06,9.0e-08,1.15e+03,-5.03,0
A99942,2105-10-16.32,0.14,&lt;1.e-04,0.000,4.773,8.71e+05,2.2e-11,1.15e+03,-8.65,0
1994WR12,2054-11-24.57,0.05,4.34e-03,0.000,2.62676,8.82e+04,3.2e-07,7.43e+01,-5.08,0
1994WR12,2059-11-24.98,0.27,&lt;1.e-04,0.000,2.75658,6.40e+05,3.0e-08,7.44e+01,-6.15,0
1994WR12,2060-11-24.06,0.17,3.93e-03,0.000,-0.48603,3.32e+05,2.1e-06,7.14e+01,-4.33,0
1994WR12,2060-11-24.11,0.07,&lt;1.e-04,0.000,-1.68836,1.05e+06,2.0e-07,7.03e+01,-5.37,0
1994WR12,2060-11-24.13,0.55,5.20e-03,0.000,2.66777,2.86e+05,7.4e-08,7.45e+01,-5.77,0
1994WR12,2060-11-24.16,0.32,3.93e-03,0.000,0.96186,1.14e+05,4.2e-06,7.28e+01,-4.03,0
1994WR12,2061-11-24.19,0.80,8.89e-02,0.000,-0.51939,9.67e+06,4.3e-08,7.14e+01,-6.04,0
1994WR12,2061-11-24.23,0.52,&lt;1.e-04,0.000,-0.52255,1.40e+07,4.4e-08,7.14e+01,-6.03,0
1994WR12,2061-11-24.32,0.95,&lt;1.e-04,0.000,-0.52163,1.15e+07,1.8e-08,7.13e+01,-6.41,0
